count_l1_loss,count_l2_kl_loss,count_l2_loss,count_query_shift_l2,iteration,mean_l1_loss,mean_l2_kl_loss,mean_l2_loss,mean_query_shift_l2,median_l1_loss,median_l2_kl_loss,median_l2_loss,median_query_shift_l2
352,500,500,500,1,2.766841991127215,2.689597356915474,2.6965432051718237,1.0539353047125042,2.9133068323135376,2.916864037513733,2.9243147373199463,1.2064505815505981
398,500,500,500,2,2.7976804387629333,2.643789946436882,2.6468442593812944,1.2735766895804554,2.977868437767029,2.9097121953964233,2.9134442806243896,1.2090640664100647
228,248,248,248,3,2.66264116319648,2.474677363711019,2.4767412376259603,1.6347586966660475,2.738433599472046,2.708336114883423,2.7097325325012207,1.7134930491447449
189,202,202,202,4,2.6241802872804105,2.3386291935302244,2.3404611256158,1.6348019203835047,2.7159621715545654,2.6005074977874756,2.602119565010071,1.4639968872070312
173,181,181,181,5,2.7398840202761523,2.5274935060113832,2.529310614858543,1.7031872574013571,2.9068796634674072,2.785454034805298,2.786865711212158,1.7834280729293823
169,175,175,175,6,2.90100927218883,2.7115260352407184,2.71347222498485,1.7292106810744319,2.9640560150146484,2.863173723220825,2.8652524948120117,1.5735599994659424
162,168,168,168,7,2.7920441690050524,2.6475838291503133,2.649839398229406,1.7162744224991737,2.8822455406188965,2.7082759141921997,2.711659550666809,1.322910487651825
